"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"308";0;0;0;0;0;0;0;0;0
"309";0;0;0;0;0;0;0;0;0
"310";0;0;0;0;0;0;0;0;0
"311";0;0;0;0;0;0;0;0;0
"312";0;0;0;0;0;0;4;4;4
"313";0;0;0;0;0;0;0;0;0
"314";0;0;0;0;0;0;0;0;0
"315";0;0;0;0;0;0;0;0;0
"316";0;0;0;0;0;0;0;0;0
"317";0;0;0;0;0;0;0;0;0
"318";0;0;0;0;0;0;0;0;0
"319";0;0;0;0;0;0;4;4;4
"320";0;0;0;0;0;0;0;0;0
"321";0;0;0;0;0;0;4;4;4
"322";0;0;0;0;0;0;0;0;0
"323";0;0;0;0;0;0;0;0;0
"324";0;0;0;0;0;0;0;0;0
"325";0;0;0;0;0;0;0;0;0
"326";0;0;0;0;0;0;0;0;0
"327";0;0;0;0;0;0;0;0;1
"328";0;0;0;0;0;0;0;0;2
"329";0;0;0;0;0;0;0;0;1
"330";0;0;0;0;0;0;0;0;1
"331";0;0;0;0;0;0;0;0;2
"332";0;0;0;0;0;0;0;0;1
"333";0;0;0;0;0;0;0;0;2
"334";0;0;0;0;0;0;0;0;1
"335";0;0;0;0;0;0;0;0;0
"336";0;0;0;0;0;0;0;0;0
"337";0;0;0;0;0;0;0;0;1
"338";0;0;0;0;0;0;0;0;2
"339";0;0;0;0;0;0;0;0;2
"340";0;0;0;0;0;0;0;0;2
"341";0;0;0;0;0;0;0;0;2
"342";0;0;0;0;0;0;4;4;4
"343";0;0;0;0;0;0;0;0;2
"344";0;0;0;0;0;0;4;4;4
"345";0;0;0;0;0;0;0;0;2
"346";0;0;0;0;0;5;5;5;5
"347";0;0;0;0;0;0;0;0;1
"348";0;0;0;0;0;0;0;0;1
"349";0;0;0;0;0;0;0;0;1
"350";0;0;0;0;0;5;5;5;5
"351";0;0;0;0;0;0;0;0;2
"352";0;0;0;0;0;5;5;5;5
"353";0;0;0;0;0;5;5;5;5
"354";0;0;0;0;0;0;4;4;4
"355";0;0;0;0;0;0;0;0;2
"356";0;0;0;0;0;0;4;4;4
"357";0;0;0;0;0;0;4;4;4
"358";0;0;0;0;0;0;0;0;0
"359";0;0;0;0;0;0;0;0;0
"360";0;0;0;0;0;0;0;0;2
"361";0;0;0;0;0;0;0;0;2
"362";0;0;0;0;0;0;0;0;1
"363";0;0;0;0;0;0;4;4;4
"364";0;0;0;0;0;0;0;3;3
"365";0;0;0;0;0;0;4;4;4
"366";0;0;0;0;0;0;4;4;4
"367";0;0;0;0;0;0;4;4;4
"368";0;0;0;0;0;0;4;4;4
"369";0;0;0;0;0;0;4;4;4
"370";0;0;0;0;0;0;4;4;4
"371";0;0;0;0;0;0;0;0;0
"372";0;0;0;0;0;0;0;0;2
