"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"juin";1,3353436556585;-0,499677049156083;0,936577246889261;-0,350461211276416;0,914474474637798;0,0855255253622023;0,00293368349006659;0,000410776855761104;0,00164523205299153;0,80434781327614;0,00106442467334598
"femme";-0,144994699997489;-0,0155521785511601;-0,994296775246937;-0,106648594615878;0,992374204894345;0,00762579510565632;3,66230914279389e-05;4,21340506530609e-07;0,00174201040904985;0,0838399529964893;1,2244831072191e-05
"europe";-0,546861863683153;0,0858956701518851;-0,987888139270105;0,1551677295363;0,983788600523112;0,0162113994768888;0,000530609415049216;1,30906804044135e-05;0,00177426986106929;0,317587482851717;0,000178956068310194
"mort";0,940003693347287;-0,513691777038169;0,877517582683019;-0,479544463091954;0,833701560042951;0,166298439957049;0,0014632400243022;0,000436980119969475;0,00165598520366467;0,593008454089442;0,000582342144820408
"jour";0,646986321657291;0,741443658098906;0,657481301066197;0,753470861247003;0,532708895452467;0,467291104547534;0,000747195103749955;0,000981296226616463;0,00178502301174244;0,510606990846501;0,000465390305505816
"agriculture";-1,71756938251986;0,503948454421731;-0,959549649753851;0,281539463765315;0,94562561749022;0,0543743825097808;0,00488523018087368;0,000420560700309303;0,00165598520366467;1,01739900178532;0,00171411149125125
"président";1,98739696374992;1,89670499088642;0,723420217662394;0,6904079871187;0,621750736133701;0,3782492638663;0,00700791651362635;0,00638291776748266;0,00177426986106929;1,45182108640387;0,00373977845329841
"juillet";1,10537230091747;-1,35530207389305;0,632034419537036;-0,774940315456927;0,498971607073853;0,501028392926146;0,00189197493444368;0,00284426743575883;0,0015484536969332;0,901378702836746;0,00125809318135815
"devenir";-0,253990835967248;-0,355379677223135;-0,581462840986874;-0,813572962033199;0,433347487653219;0,566652512346782;0,000126947138481521;0,000248526096196924;0,00196782657318594;0,222247322662832;9,71985747218788e-05
"force";0,853953661082117;-0,666846651130998;0,788160764364844;-0,615469422080273;0,710580363062654;0,289419636937345;0,00134875413036469;0,000822462540898918;0,00184954191578132;0,583531541626934;0,000629785779309251
"vie";-0,596041433445367;0,349229897061596;-0,862807650770874;0,50553235086515;0,813472014121647;0,186527985878352;0,000603595118936405;0,000207212356641803;0,00169899780635726;0,380663971374551;0,000246193377545463
"public";0,0208879609861279;-0,24788679623295;0,0839665404755911;-0,996468574557452;0,0105186850185709;0,989481314981428;7,55359512015984e-07;0,000106382060123106;0,0017312572583767;0,11731457034875;2,38267888403157e-05
"production";-1,65461847123902;0,400169507837164;-0,971977757244385;0,235072838546215;0,96240071051457;0,0375992894854312;0,00482808953933416;0,00028240186825705;0,00176351671039615;0,971530708939742;0,00166453390059492
"communiste";1,10929655598917;-1,76480565644957;0,532168155805105;-0,846638679689863;0,371670209698086;0,628329790301913;0,00177311073361591;0,00448780836460578;0,00144092219020173;1,04810651420912;0,00158289231286395
"populaire";1,14253554369927;-1,21344724671055;0,685513440084165;-0,728059972436319;0,570315893506274;0,429684106493725;0,0022459245018989;0,0025333635348607;0,00172050410770356;0,871462320554181;0,00130663095384004
"culturel";0,721596716886892;-1,40945559636466;0,455715987604584;-0,890125237616359;0,281827616586826;0,718172383413173;0,000862274512458373;0,00328972237548974;0,00165598520366467;0,782959695845082;0,00101516179554975
"lennon";0,787610002908844;-1,71311231571488;0,41772102130886;-0,908575339945281;0,240387306731275;0,759612693268723;0,000166762418997072;0,00078894624668104;0,000268828766828681;0,925320298474959;0,000230175936268707
"and";-0,196815084539464;0,0320456366955995;-0,987002520159104;0,160704776530061;0,982600786859585;0,0173992131404161;1,41622224082477e-05;3,75450301751646e-07;0,000365607122887006;0,114368508973691;4,78219814535482e-06
"xixe";-1,67120752214843;0,414524159798651;-0,970588752826207;0,240743583273299;0,960528761033783;0,0394712389662172;0,00483528826740681;0,000297482417825941;0,0017312572583767;0,982226906980215;0,00167026454023983
"décembre";1,64818796211956;0,671881853081789;0,926014233273716;0,377488595555538;0,900093980146961;0,09990601985304;0,0043232556954538;0,000718428031593742;0,00159146629962579;1,00068972663377;0,00159366241010984
"nouvelle";-0,181808655301323;-0,201444138961376;-0,670000273281335;-0,742360851475168;0,549451824147104;0,450548175852897;5,61593312455489e-05;6,89448911486369e-05;0,00169899780635726;0,14128185121759;3,39129501740737e-05
"population";-0,681388500834251;-0,295950480403733;-0,917220308806687;-0,398380352317437;0,888097314626069;0,111902685373933;0,000778843015772583;0,000146925923144944;0,00167749150501097;0,416486715636851;0,000290979663115699
"rester";-0,330608574439636;-0,0414958490279355;-0,992215038305774;-0,124536411381856;0,989587221838289;0,0104127781617128;0,000177476519994885;2,79590228040917e-06;0,00162372575164523;0,191436041543333;5,9505908407554e-05
"nombreux";-0,42910431367394;-0,0386072114668327;-0,995976961680668;-0,08960966354889;0,994622248488329;0,00537775151167278;0,000338577116804192;2,74074550420288e-06;0,00183878876510818;0,247839444790856;0,000112946478960547
"russe";0,671132382794546;-1,35492411606447;0,443861494999792;-0,896095404104133;0,26864701902343;0,731352980976569;0,000571523545935173;0,00232941937840967;0,00126887177943137;0,745853983268164;0,000705871041702055
"notamment";-0,56815478158451;0,572433229292844;-0,70444940434521;0,709754208664999;0,595937521078681;0,404062478921318;0,000544965131472995;0,000553203674499823;0,00168824465568412;0,423938572326967;0,000303417935800899
"britannique";-0,446457770185356;-0,429850592014824;-0,720378019464665;-0,693581652779373;0,617602640810162;0,382397359189839;0,000302214721265453;0,000280149532616723;0,00151619424491376;0,327237032462642;0,000162360258866067
"partie";-0,0805213185099516;-0,144912892541264;-0,485708180326589;-0,874121023407991;0,316122081368068;0,683877918631933;1,10157627431697e-05;3,5678523109583e-05;0,00169899780635726;0,0824935689933544;1,15620010558657e-05
"cit";0,256679942045863;-1,25369385463474;0,200578167242534;-0,979677701504748;0,0590520550258074;0,940947944974191;4,25080171074032e-06;0,000101407476524726;6,45189040388834e-05;0,608430611996977;2,38841117649156e-05
"op";0,665087681171233;-1,60709267085023;0,38239293807611;-0,923999805686949;0,204085043824119;0,795914956175879;2,37828306403355e-05;0,000138863330288428;5,37657533657362e-05;0,848027520309558;3,86656778357337e-05
"science";-1,37931260128893;0,579923248298611;-0,921836022437613;0,387580117829076;0,894396747253998;0,105603252746002;0,00222991154970227;0,00039418788073655;0,00117209342337305;0,840106278270057;0,000827238407114022
"projet";-0,122707063979209;0,129214330325714;-0,688612140707005;0,725129864004314;0,57449766154217;0,425502338457829;1,16575518907118e-05;1,29267571468627e-05;0,000774226848466601;0,0932528393744862;6,73274794293376e-06
"novembre";1,48986157345173;0,0805147063225814;0,998542936117968;0,0539629940691473;0,998053099800387;0,0019469001996138;0,0027926302038972;8,15590238615369e-06;0,00125811862875823;0,859024849257453;0,000928395543056577
"machine";-1,68888448449625;0,429820191116239;-0,969107828383495;0,246637420043728;0,958532117732483;0,041467882267517;0,00389528594617474;0,000252297576022436;0,0013656501354897;0,993649556706223;0,0013483602421168
"utiliser";-0,919407766308704;0,448624583502323;-0,898717215184606;0,438528638894688;0,862789838548227;0,137210161451773;0,0011089498276415;0,000264035120484334;0,00131188438212396;0,570154149082539;0,000426461804307241
"rouge";1,18918539792365;-1,78347228862042;0,554766038671778;-0,832006395610288;0,399627707684537;0,600372292315461;0,00208331736587564;0,00468585698724616;0,00147318164222117;1,08357357111597;0,00172970924245
"russie";0,107455251033438;-0,84540396182534;0,126090750011045;-0,992018710892921;0,0236165091312539;0,976383490868745;1,68861221187325e-05;0,00104520913565226;0,00146242849154802;0,402769358752405;0,000237239765834832
"développement";-1,35873253991919;0,439978613007521;-0,951364782889325;0,308066632204702;0,934547250136372;0,0654527498636282;0,00305720389818304;0,000320567569629009;0,00165598520366467;0,809599024656579;0,00108541646341383
"publier";0,031333316709421;1,02800157291823;0,0304656850971934;0,999535813281124;0,00138896111583062;0,998611038884168;1,38299230523558e-06;0,00148865679861314;0,00140866273818229;0,484281586526095;0,000330371777402452
"important";-0,632670329885868;-0,000483257332740861;-0,999999708276253;-0,000763837292402188;0,999999610297446;3,8970255509194e-07;0,000675756636542532;3,94268688918947e-10;0,00168824465568412;0,364430053280868;0,000224214529724768
"effet";-1,14389675117139;0,206383682126294;-0,984110903472558;0,177554863820807;0,97872022285916;0,0212797771408413;0,00215278577501282;7,00773830051303e-05;0,00164523205299153;0,666030591812414;0,00072981959043603
"civil";1,15890161388898;-1,17274620696623;0,702895812434165;-0,711292820758452;0,593829620570961;0,406170379429038;0,00203632915442708;0,00208527298915511;0,00151619424491376;0,866267998870765;0,00113778285805116
"également";-0,289204964734609;0,174110126919554;-0,856724618458047;0,515774105716751;0,805097826072334;0,194902173927665;0,000135807628884028;4,92221684877568e-05;0,00162372575164523;0,185659873024828;5,59691584174684e-05
"référence";-0,435415243656935;0,327070973265867;-0,799550655956479;0,600598658472997;0,726277365774334;0,273722634225665;0,000236483573394814;0,000133437447848913;0,00124736547808508;0,294299149119477;0,000108036805281991
"livre";-0,0602398034891837;0,62278988303983;-0,0962763998122339;0,995354637724261;0,0138137466321705;0,986186253367828;4,25333237732038e-06;0,000454616639290157;0,00117209342337305;0,295232684408555;0,000102162403068905
"ali";2,49158059453968;4,18399861570745;0,511651434438923;0,859193115449951;0,346801277432138;0,653198722567862;0,00914547312459546;0,0257892886255875;0,00147318164222117;2,43708809066827;0,00874981263226119
"manifestation";1,88160257732689;1,55873132710452;0,770084051265246;0,637942437831899;0,685696054353965;0,314303945646037;0,00513955239973151;0,00352705333845646;0,00145167534087488;1,30887660749348;0,00248694918536163
"considérer";-0,736085000600901;-0,139837777524536;-0,982428948132612;-0,186636978841414;0,976461453217864;0,0235385467821376;0,000868116350040159;3,13307669085471e-05;0,00160221945029894;0,429078790883415;0,000294982393964365
"tunisien";2,33106927781649;3,91181911841578;0,511906283240705;0,859041301206576;0,347107009607722;0,65289299039228;0,00771294125654164;0,0217203686567898;0,00141941588885543;2,27908288915473;0,00737275671710824
"août";1,25306102281613;-1,07092534512277;0,760193170566701;-0,649697116681109;0,672101073976543;0,327898926023456;0,00184037646815142;0,00134425178863682;0,00117209342337305;0,880423362879432;0,000908542705831737
"terre";-1,00743925048504;-0,159840375872494;-0,987646244807934;-0,156700016326692;0,98346419821418;0,0165358017858212;0,00137513080423514;3,4616189574192e-05;0,00135489698481655;0,585162143199453;0,000463936690428147
"liberté";0,226052517148256;-0,501364097518862;0,411027881018932;-0,911622773423902;0,233337689359801;0,766662310640197;7,47297164311637e-05;0,000367604739195264;0,00146242849154802;0,269558811475178;0,000106262910090453
"fois";-0,156243541961953;0,541732382074418;-0,277119037799455;0,960835594099794;0,11074620035917;0,889253799640827;3,46508437076411e-05;0,000416561621360263;0,00141941588885543;0,27044209413475;0,000103814554055642
"peuple";0,906121728518335;-0,971964544502529;0,681897774921741;-0,731447485850337;0,565442269212578;0,434557730787421;0,00111244709394517;0,00127999160767152;0,00135489698481655;0,69411118277094;0,000652776270914952
"idée";-0,964715674413041;0,0315596532059345;-0,999465328096484;0,0326964513821878;0,999285689726463;0,000714310273537842;0,00133102447650374;1,42446511133476e-06;0,00143016903952858;0,555892907128497;0,000441946437675144
"ministre";1,82049585749483;2,34281158732611;0,613585449215165;0,789628328083171;0,474792660303796;0,525207339696205;0,00481114991576022;0,00796790644813517;0,00145167534087488;1,52185869038248;0,00336215829628705
"ville";0,479163291899906;-0,269788064089969;0,871374429113804;-0,490618593498649;0,825257243554607;0,174742756445393;0,000350583244045103;0,000111139781631561;0,00152694739558691;0,303826394111103;0,000140953243598809
"détaillé";0,249338267128151;-0,219680016608826;0,750321862458083;-0,661072690948154;0,65855190425358;0,341448095746419;8,89129962949417e-05;6,9018970598034e-05;0,00143016903952858;0,176982597120631;4,47969555455497e-05
