"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"83";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;1,7252;-0,0059;-0,0369;0,3846;-0,1514;0,409;1,049;-0,008;-0,0212;-0,0711;-0,0073;0,6315;-0,062;0,3287;-0,0266;-0,1158;-0,2624;-0,0855;0,2279;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;0,8199;-0,0063;-0,0119;-0,0059;-0,0267
"48";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;-0,0715;1,9662;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;1,1334;-0,0681;0,2825;-0,0293;-0,1274;-0,2886;-0,0941;0,2029;-0,0172;-0,2998;-0,0251;0,6518;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"42";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;1,1471;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;1,9543;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,966;0,4969;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;0,57;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;0,7254;-0,0784;-0,0069;-0,013;1,8292;-0,0294
"remise";15;-0,0106;-0,011;-0,0036;-0,0137;1,2894;-0,0438;-0,0045;-0,0048;-0,0076;-0,525;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;0,2599;0,3902;1,4815;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,2279;-0,0929;-1,087;-0,0399;-0,1737;-0,3935;-0,1283;-0,2024;-0,0235;0,6365;-0,0343;0,536;0,5247;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"limiter";26;-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;-0,0759;-0,0077;-0,0083;-0,0132;-0,1719;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;0,4059;-0,3936;-0,1931;-0,1057;-0,0208;-0,0552;0,4601;-0,019;0,3624;-0,1611;0,6986;-0,0692;0,3009;-0,264;-0,2223;0,7471;-0,0407;0,6811;-0,0594;-0,2589;-0,3698;0,4592;-0,0163;-0,0308;-0,0153;-0,0694
"lourd";18;-0,0127;-0,0132;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;0,2104;0,3316;1,2741;-0,0731;-0,0144;-0,0382;-0,128;-0,0131;-0,3044;-0,1115;0,5295;-0,0479;-0,2085;-0,1457;0,5252;1,2049;-0,0282;-0,4907;-0,0411;-0,1793;-0,5902;1,4671;-0,0113;-0,0213;-0,0106;-0,048
"neuf";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;0,2078;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;0,3263;-0,1817;1,7504;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;0,5161;0,8032;0,2436;-0,0319;-0,139;-0,3148;-0,1026;-0,1396;-0,0188;0,2764;-0,0274;-0,1195;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"éditeur";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;1,1471;-0,0033;-0,0035;1,8949;0,2307;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;1,8303;-0,0406;-0,254;0,4969;-0,2361;-0,0447;-0,0088;-0,0233;0,7831;-0,008;-0,4618;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;0,6163;-0,0172;0,3022;-0,0251;1,6078;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"naître";50;-0,0354;-0,0368;-0,0121;-0,0457;0,2566;-0,146;1,4735;-0,016;-0,0253;1,43;-0,0324;-0,3252;-0,0215;-0,0733;-0,0413;-0,0294;-0,1847;0,9367;-0,3139;-1,0733;-0,2032;-0,04;-0,1061;-0,3555;-0,0365;-0,506;-0,3098;0,636;-0,1331;-0,5792;1,5869;-0,4275;0,3675;-0,0782;0,7293;-0,1142;-0,1635;-1,6396;0,2519;-0,0313;-0,0593;-0,0295;-0,1335
"route";30;-0,0212;-0,0221;-0,0073;-0,0274;-0,7711;-0,0876;-0,0089;-0,0096;-0,0152;-1,05;-0,0194;-0,1951;-0,0129;-0,044;-0,0248;-0,0176;-0,1108;-0,2715;-0,4542;0,3686;-0,1219;-0,024;-0,0637;1,9023;-0,0219;-0,3287;-0,1859;1,9425;0,7749;-0,3475;-0,7871;-0,2565;0,9612;-0,0469;-0,3489;-0,0685;0,3033;0,7676;-0,2139;-0,0188;-0,0356;-0,0177;-0,0801
"réserver";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;1,0492;0,966;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,1362;-0,0681;0,2825;-0,0293;-0,1274;0,3138;-0,0941;-0,428;-0,0172;1,5905;-0,0251;-0,1096;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"entretien";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,3537;0,4969;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;0,2825;-0,0293;0,5947;0,3138;-0,0941;-0,428;1,4107;0,8496;-0,0251;-0,1096;0,7254;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"suffisamment";11;-0,0078;-0,0081;-0,0027;1,6407;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;0,838;1,126;-0,0293;-0,1274;0,8761;-0,0941;0,2029;-0,0172;-0,2998;-0,0251;-0,1096;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"400";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;1,4815;-0,061;-0,012;-0,0318;-0,1066;-0,0109;0,8108;-0,0929;0,7239;-0,0399;0,4819;-0,3935;-0,1283;-0,2024;-0,0235;0,2147;-0,0343;-0,1494;-0,1541;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"choix";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;0,281;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,6297;-0,0929;-0,2305;-0,0399;-0,1737;0,6606;0,5923;-0,2024;1,2791;1,2284;-0,0343;-0,1494;0,5247;0,6611;-0,0094;-0,0178;-0,0088;-0,04
"perception";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;0,3846;0,5312;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;0,3287;-0,0266;0,6306;0,9466;-0,0855;0,6796;-0,0156;0,3315;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"poids";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;0,4873;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;0,9217;1,4026;0,3902;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;0,389;-0,0929;0,7239;-0,0399;-0,1737;-0,3935;-0,1283;-0,2024;-0,0235;0,2147;-0,0343;-0,1494;-0,4919;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"exclure";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;0,3846;0,5312;0,409;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,2079;-0,062;-0,7247;-0,0266;0,6306;-0,2624;-0,0855;-0,3891;-0,0156;0,3315;-0,0228;0,6884;0,7921;0,8199;-0,0063;-0,0119;-0,0059;-0,0267
"mobiliser";26;-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;-0,0759;-0,0077;-0,0083;-0,0132;-0,1719;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;-0,2166;-0,3936;0,445;-0,1057;-0,0208;-0,0552;-0,1848;-0,019;-0,5306;0,5088;0,6986;-0,0692;0,3009;0,3415;0,3972;0,4118;-0,0407;-0,2799;-0,0594;0,3476;0,9341;-0,1853;-0,0163;-0,0308;-0,0153;-0,0694
"peine";30;-0,0212;-0,0221;-0,0073;-0,0274;0,6076;-0,0876;-0,0089;-0,0096;-0,0152;-0,5037;-0,0194;0,4414;-0,0129;-0,044;-0,0248;-0,0176;-0,1108;-0,6928;1,7321;-0,644;-0,1219;-0,024;-0,0637;-0,2133;-0,0219;0,5268;0,4582;-0,8561;-0,0798;-0,3475;0,5913;-0,2565;1,9267;-0,0469;0,2579;-0,0685;-0,2988;-0,2035;-0,2139;-0,0188;-0,0356;-0,0177;-0,0801
"coeur";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;0,3902;-0,322;-0,061;-0,012;-0,0318;0,6621;-0,0109;-0,6297;-0,0929;0,7239;-0,0399;-0,1737;0,2248;0,5923;-0,2024;-0,0235;0,2147;-0,0343;-0,1494;0,5247;-0,1069;-0,0094;-0,0178;1,6957;1,0552
"1940";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;1,1317;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;0,3242;0,9411;-0,0104;-0,0276;-0,0924;-0,0095;1,583;0,7714;-0,9421;-0,0346;-0,1506;-0,3411;-0,1112;-0,5058;-0,0203;0,2535;-0,0297;0,5887;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"initialement";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;0,8186;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;0,7831;-0,008;0,57;-0,0681;1,126;1,1859;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;0,3022;-0,0251;-0,1096;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"dynamique";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;0,2798;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,8785;-0,0867;0,8057;-0,0373;-0,1622;0,2435;-0,1197;0,468;-0,0219;-0,3816;-0,032;-0,1394;-0,4591;1,6742;-0,0088;-0,0166;-0,0083;-0,0374
"promouvoir";19;-0,0134;-0,014;-0,0046;-0,0174;1,0343;-0,0555;-0,0056;-0,0061;-0,0096;-0,2509;-0,0123;-0,1236;-0,0082;-0,0279;-0,0157;-0,0112;1,9532;0,1966;-0,2877;0,2154;-0,0772;-0,0152;-0,0403;0,573;-0,0139;-0,7977;-0,1177;0,4779;-0,0506;-0,2201;0,5126;-0,1625;-0,2951;-0,0297;-0,5179;1,0219;-0,1892;-0,2268;0,572;-0,0119;-0,0225;-0,0112;-0,0507
"identique";13;-0,0092;1,6619;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,1346;-0,0084;0,7523;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;0,4384;0,3242;0,9411;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;0,7714;-0,9421;-0,0346;-0,1506;0,2644;1,5901;-0,1598;-0,0203;-0,3544;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"couper";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,525;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;-0,322;-0,061;-0,012;1,1506;0,6621;-0,0109;1,3663;-0,0929;-1,087;-0,0399;0,4819;0,2248;-0,1283;0,8799;-0,0235;1,2284;-0,0343;-0,1494;-0,1541;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"relancer";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;0,9916;-0,0048;-0,0051;-0,0081;0,4501;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;-0,3695;-0,2422;0,7474;-0,065;-0,0128;-0,034;-0,1137;-0,0117;1,2733;0,6902;0,6515;-0,0426;-0,1853;-0,4198;-0,1368;0,3938;-0,025;-0,4361;-0,0365;-0,1593;-0,5246;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"manquer";28;-0,0198;-0,0206;-0,0068;-0,0256;-0,7197;-0,0817;-0,0083;-0,0089;-0,0142;-0,4549;-0,0181;-0,1821;-0,012;-0,0411;-0,0231;-0,0165;0,6739;0,757;-0,4239;-0,601;-0,1138;-0,0224;0,8931;1,1223;-0,0204;0,3155;-0,1735;-0,2478;-0,0745;1,4369;-0,2963;0,9873;0,6671;-0,0438;-0,7633;-0,0639;-0,2789;0,4771;-0,1996;-0,0175;-0,0332;-0,0165;-0,0747
"gouverner";23;-0,0163;-0,0169;-0,0056;-0,021;-0,5912;-0,0671;-0,0068;-0,0073;-0,0116;1,0104;-0,0149;-0,1496;-0,0099;-0,0337;-0,019;-0,0135;-0,0849;-0,5312;-0,3482;-0,1582;-0,0935;1,382;-0,0488;0,5034;-0,0168;0,8054;-0,1425;-0,5358;-0,0612;-0,2664;0,8258;1,1344;0,5018;-0,036;-0,627;0,9434;-0,2291;-0,3064;-0,164;-0,0144;-0,0273;-0,0136;-0,0614
"57";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,525;-0,0097;-0,0975;1,8324;-0,022;-0,0124;-0,0088;-0,0554;0,2599;-0,2271;0,792;-0,061;-0,012;-0,0318;-0,1066;-0,0109;0,8108;-0,0929;-0,2305;-0,0399;-0,1737;-0,3935;-0,1283;0,4289;-0,0235;-0,4089;-0,0343;-0,1494;1,0427;0,6611;-0,0094;-0,0178;-0,0088;-0,04
"ici";35;-0,0248;-0,0258;-0,0085;1,1488;0,4863;-0,1022;-0,0104;-0,0112;-0,0177;1,3005;-0,0227;-0,2276;-0,015;-0,0513;-0,0289;-0,0206;-0,1293;-0,3442;-0,5299;-0,7513;-0,1422;-0,028;-0,0743;1,7209;-0,0255;-0,8112;1,0565;0,3415;-0,0931;-0,4054;0,833;-0,2993;-0,3838;-0,0547;-0,4399;-0,0799;0,7259;-0,2782;0,3595;-0,0219;-0,0415;-0,0206;-0,0934
"convoquer";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,7486;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;0,409;-0,0406;-0,008;-0,0212;0,821;-0,0073;0,2079;-0,062;-0,7247;-0,0266;-0,1158;-0,2624;-0,0855;1,321;-0,0156;-0,2726;-0,0228;-0,0996;0,7921;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"indispensable";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,6315;-0,062;1,2676;-0,0266;-0,1158;0,3435;-0,0855;0,2279;-0,0156;0,3315;-0,0228;-0,0996;-0,3279;0,8199;-0,0063;-0,0119;-0,0059;-0,0267
"exister";52;-0,0368;-0,0383;-0,0126;-0,0475;-1,3366;0,5302;-0,0154;-0,0166;-0,0263;0,9794;1,1271;-0,3382;-0,0223;-0,0763;-0,0429;-0,0306;-0,192;1,2902;0,2711;0,6173;-0,2113;-0,0416;0,6489;-0,3697;-0,0379;0,7;0,2809;1,0312;0,564;0,3991;-0,3921;-0,4446;-1,2544;-0,0813;-1,4176;-0,1188;-0,1742;-0,5834;0,241;-0,0325;-0,0617;-0,0307;-0,1388
"entièrement";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;1,7612;0,4873;-0,0097;0,6964;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;-0,322;0,8829;-0,012;-0,0318;0,6621;-0,0109;-0,2279;-0,0929;-0,2305;-0,0399;0,4819;-0,3935;-0,1283;-0,2024;-0,0235;0,2147;-0,0343;0,536;0,5247;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"rompre";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;1,469;-0,0867;-0,1988;-0,0373;-0,1622;-0,3673;0,6182;0,9496;-0,0219;0,2331;-0,032;-0,1394;0,5671;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"séparer";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;0,791;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,8785;0,7422;-0,1988;-0,0373;0,5064;-0,3673;0,6182;0,468;-0,0219;-0,3816;-0,032;-0,1394;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"bordeaux";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;0,6255;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;0,9015;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;1,7104;-0,0743;0,2436;-0,0319;-0,139;-0,3148;-0,1026;-0,4669;-0,0188;0,2764;-0,0274;-0,1195;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"1804";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;1,8541;1,9943;1,126;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"1801";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;1,0385;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,6315;-0,062;1,2676;-0,0266;-0,1158;0,9466;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"port";23;-0,0163;-0,0169;-0,0056;-0,021;-0,5912;-0,0671;-0,0068;-0,0073;-0,0116;-0,805;-0,0149;-0,1496;-0,0099;-0,0337;-0,019;-0,0135;-0,0849;1,5391;1,3697;-0,4937;-0,0935;-0,0184;-0,0488;-0,1635;-0,0168;0,8054;0,5533;1,7577;-0,0612;-0,2664;-0,6034;-0,1967;-0,3958;-0,036;0,3849;-0,0525;-0,2291;-0,7542;-0,164;-0,0144;-0,0273;-0,0136;-0,0614
"entier";30;-0,0212;-0,0221;-0,0073;-0,0274;-0,7711;-0,0876;-0,0089;-0,0096;-0,0152;1,1064;-0,0194;0,4414;-0,0129;-0,044;-0,0248;-0,0176;0,6475;-0,2715;1,085;0,3686;-0,1219;-0,024;-0,0637;-0,2133;-0,0219;0,275;-0,1859;-0,2995;-0,0798;-0,3475;1,5392;-0,2565;-0,5862;-0,0469;0,5615;-0,0685;-0,2988;-0,4583;-0,2139;-0,0188;-0,0356;-0,0177;-0,0801
"bientôt";13;1,6787;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;-0,1968;-0,2791;0,9411;-0,0104;-0,0276;-0,0924;-0,0095;-0,5458;1,8507;0,8984;-0,0346;-0,1506;1,4319;-0,1112;-0,1598;-0,0203;0,2535;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"garantir";11;-0,0078;-0,0081;-0,0027;-0,01;1,6558;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,966;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;0,8496;-0,0251;-0,1096;0,2486;1,8789;-0,0069;-0,013;-0,0065;-0,0294
"modifier";38;-0,0269;1,2051;-0,0092;1,1145;-0,9768;0,647;-0,0113;-0,0121;1,3633;0,7751;-0,0246;0,3626;-0,0163;-0,0557;1,1569;1,2998;0,5589;-0,3897;-0,5753;-0,8157;-0,1544;-0,0304;-0,0807;0,3343;-0,0277;0,5687;0,3783;-0,5446;-0,1011;-0,1333;0,7415;0,7717;-0,4477;-0,0594;-0,4966;-0,0868;-0,3785;-0,6461;-0,2709;-0,0238;1,0062;1,2987;-0,1014
"courir";20;-0,0141;-0,0147;-0,0048;-0,0183;0,9818;-0,0584;-0,0059;1,8362;-0,0101;-0,2721;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,4619;0,2993;-0,4293;-0,0813;-0,016;-0,0425;-0,1422;-0,0146;0,2505;0,6052;-0,412;-0,0532;-0,2316;-0,5247;1,2423;0,6148;-0,0313;-0,5452;-0,0457;-0,1992;0,7583;0,5531;-0,0125;-0,0237;-0,0118;-0,0534
"épidémie";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;0,838;1,126;-0,0293;0,5947;-0,2886;-0,0941;0,6163;-0,0172;0,8496;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"au_delà";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;0,4969;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,1362;-0,0681;0,2825;-0,0293;0,5947;-0,2886;-0,0941;0,6163;-0,0172;0,8496;-0,0251;-0,1096;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"qualifier";29;-0,0205;-0,0213;-0,007;-0,0265;0,636;1,7918;-0,0086;-0,0093;-0,0147;1,6634;-0,0188;-0,1886;-0,0124;-0,0425;-0,0239;-0,017;0,6605;-0,6698;1,1201;-0,2299;-0,1179;-0,0232;-0,0616;-0,2062;-0,0212;-0,6216;-0,1797;-0,2731;-0,0772;-0,3359;0,2896;-0,248;0,3392;-0,0454;-0,3313;-0,0662;-0,2888;-0,1896;-0,2067;-0,0181;-0,0344;-0,0171;-0,0774
"spéculation";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;0,3846;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,6315;-0,062;1,2676;-0,0266;-0,1158;0,9466;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"refus";24;-0,017;-0,0177;-0,0058;-0,0219;0,8043;-0,0701;-0,0071;-0,0077;-0,0121;1,4668;-0,0155;-0,1561;-0,0103;-0,0352;-0,0198;-0,0141;-0,0886;-0,5543;0,7033;-0,5152;-0,0975;-0,0192;-0,0509;-0,1706;-0,0175;-0,4715;-0,1487;-0,5791;-0,0639;-0,278;0,3822;0,4242;0,4696;-0,0375;0,3629;0,926;0,3734;-0,3272;-0,1711;-0,015;-0,0285;-0,0141;-0,0641
