"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"briser";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;0,57;0,838;-0,7971;-0,0293;0,5947;0,8761;-0,0941;0,6163;-0,0172;0,3022;-0,0251;0,6518;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"descendre";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;1,3567;-0,2147;-0,0406;-0,008;-0,0212;0,821;-0,0073;-0,4198;-0,062;1,2676;1,2259;-0,1158;-0,2624;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;0,7921;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"impérialisme";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;1,3206;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,966;-0,1665;1,8596;1,0096;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;0,6163;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"pénétrer";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;0,3493;-0,0488;-0,0096;1,2444;-0,0853;-0,0088;1,0382;-0,0743;-0,8696;-0,0319;-0,139;1,5269;-0,1026;-0,1396;-0,0188;0,2764;1,2136;-0,1195;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"o";11;-0,0078;1,7337;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;0,8186;-0,0047;1,4382;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;0,2825;-0,0293;0,5947;0,3138;-0,0941;0,6163;-0,0172;0,8496;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"soi";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;1,3206;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;0,4969;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;0,2825;-0,0293;-0,1274;1,6329;-0,0941;-0,428;-0,0172;0,3022;-0,0251;0,6518;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"essentiellement";34;-0,0241;-0,025;-0,0082;-0,0311;-0,8739;-0,0992;-0,0101;-0,0108;-0,0172;1,3539;-0,022;-0,2211;-0,0146;-0,0499;-0,0281;-0,02;-0,1256;0,5899;0,9593;0,6488;-0,1382;-0,0272;-0,0722;-0,2417;-0,0248;-0,4175;-0,2106;-0,4149;0,7257;-0,3938;0,2216;-0,2907;0,2467;-0,0532;-0,4213;-0,0776;0,2664;0,3432;0,9761;-0,0213;-0,0403;-0,02;-0,0908
"voire";40;-0,0283;-0,0294;-0,0097;-0,0365;-1,0282;-0,1168;-0,0119;-0,0128;-0,0202;-0,2043;-0,0259;-0,2601;-0,0172;-0,0587;-0,033;-0,0235;-0,1477;-0,4207;-0,2219;-0,8587;-0,1626;-0,032;0,7506;-0,2844;-0,0292;-0,3096;0,3617;-0,2358;-0,1065;0,5469;1,5531;0,2636;0,9075;-0,0626;0,649;-0,0914;-0,3984;0,4796;0,3175;-0,025;-0,0474;-0,0236;-0,1068
"creuser";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;1,0385;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;0,8763;1,2676;-0,0266;-0,1158;0,3435;-0,0855;0,2279;-0,0156;0,3315;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"massivement";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;0,5743;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;-0,1968;0,3242;-0,0528;-0,0104;-0,0276;0,7174;-0,0095;-0,5458;-0,0805;0,8984;-0,0346;-0,1506;0,2644;0,6463;0,5117;-0,0203;-0,3544;-0,0297;-0,1295;0,2039;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
